Mol1	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1Br
Mol1692	Cc1cc(C)c2c(ccc3ccccc32)n1
Mol1693	CSc1cccc2cccnc12
Mol1694	CC(C)(C)c1ccc2ncccc2c1
Mol1695	CC(C)COc1ccc2ccccc2n1
Mol1696	FC(F)(F)C(Nc1cccc2cccnc12)c1ccco1
Mol1697	COc1cc(C(O)c2cccc3cccnc23)cc(OC)c1OC
Mol1698	O=C(CSc1ccc(Cl)cc1)Oc1cccc2cccnc12
Mol1699	C(=N\c1cnc2ccccc2c1)\c1ccc2ccccc2n1
Mol1700	O=C(Oc1cccc2cccnc12)c1ccc(Cl)cc1Cl
Mol1701	O=C(Nc1cccc(Cl)c1)Nc1cccc2cccnc12
Mol1702	O=S(O)c1cnc2ccccc2c1
Mol1703	C=CCC(C=C)C(=O)Nc1cccc2cccnc12
Mol1704	O=C(Nc1c(Cl)cccc1Cl)Oc1cccc2cccnc12
Mol1705	Cc1ccc(SCC(=O)Oc2cccc3cccnc23)cc1
Mol1706	CC(O)c1cccc2cccnc12
Mol1707	O=S(=O)(c1ccccc1)c1cnc2ccccc2c1
Mol1708	CC(=O)Nc1cccc(COc2cccc3cnccc23)c1Cl
Mol1709	Brc1cccc2cccnc12
Mol1710	C=CCC(C(=O)Nc1cccc2cccnc12)C1CC1
Mol1711	COc1cc(/C=N/c2cccc3cccnc23)ccc1O
Mol1712	FC(F)(F)c1ccc(Oc2cccc3cccnc23)cn1
Mol1713	CC(C)Nc1cccc2cccnc12
Mol1714	CC(=O)Nc1ccccc1CN
Mol1715	OCCOc1cccc2cccnc12
Mol1716	Cc1c2ccccc2nc2ccccc12
Mol1717	NC(c1cccc2cccnc12)C(O)c1ccc(F)cc1
Mol1718	OC(NC1CC1)c1cccc2cccnc12
Mol1719	CC(C)Oc1ccc2ccccc2n1
Mol1720	CCC(C)(C)C(C)C(=O)Nc1cccc2cccnc12
Mol1721	C=CC(CCC)C(=O)Nc1cccc2cccnc12
Mol1722	CCCc1cnc2ccccc2c1
Mol1723	Cc1cc(CN(C)C(=O)Nc2cccc3cccnc23)no1
Mol1724	CCC(Br)COS(=O)(=O)c1cccc2cccnc12
Mol1725	N=C(N)Nc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol1726	CC(=O)/C=C(\C)Nc1cccc2cccnc12
Mol1727	C/C(=N\Nc1cccc2cccnc12)c1ccc(C)cc1
Mol1728	CC(C)(C)c1cnc2ccccc2c1
Mol1729	O=C(Oc1cccc2cccnc12)c1ccccn1
Mol1730	CC(CC(F)(F)F)C(=O)Nc1cccc2cccnc12
Mol1731	CCCCSc1cccc2cccnc12
Mol1732	Cc1ncccc1C(=O)Nc1cccc2cccnc12
Mol1733	Cc1cccc(C(C)C)c1C(=O)Nc1cccc2cccnc12
Mol1734	Cc1nccc(Nc2cccc3cccnc23)n1
Mol1735	CCC(C)(C)C(=O)Nc1cccc2cccnc12
Mol1736	CCCCOc1ccc2ncccc2c1
Mol1737	CC(=O)Nc1ccc2ncccc2c1
Mol1738	C=CC(C(=O)Nc1cccc2cccnc12)C(C)C
Mol1739	O=C(CC1CCCC1)Nc1cccc2cccnc12
Mol1740	Cc1ccc(CCC(=O)Nc2cccc3cccnc23)cc1
Mol1741	C=CB(Oc1cccc2cccnc12)c1cccc(C#N)c1
Mol1742	NCCCNc1cccc2cccnc12
Mol1743	BrCc1cccc2cccnc12
Mol1744	O=Cc1ccc2ccccc2n1
Mol1745	O=C(S)c1ccnc2ccccc12
Mol1746	COc1cccc(C(=O)COc2cccc3cccnc23)c1
Mol1747	Oc1ccc(CSc2cccc3cccnc23)cc1Cl
Mol1748	O=Cc1ccccc1Oc1cccc2cccnc12
Mol1749	COc1ccc(C(=O)/C=C/c2cccc3cccnc23)cc1F
Mol1750	COC(=O)c1cnc2ccccc2c1
Mol1751	O=S(=O)(O)Oc1cccc2ncccc12
Mol1752	CCC(C(=O)Nc1cccc2cccnc12)C1CCCCC1
Mol1753	COc1ccc(C)c(C(=O)Nc2cccc3cccnc23)c1
Mol1754	c1ccc2ncncc2c1
Mol1755	CC(=O)c1ccccc1C(=O)Nc1cccc2cccnc12
Mol1756	Cc1ccccc1C(C)C(=O)Nc1cccc2cccnc12
Mol1757	Cc1ccccc1/N=C/c1cccc2cccnc12
Mol1758	CC(=O)CCNc1cccc2cccnc12
Mol1759	Oc1ccc(Br)cc1CNc1cccc2cccnc12
Mol1760	CC(C)(C(=O)Nc1cccc2cccnc12)C(F)(F)F
Mol1761	CC(C)(C)c1cccc2cccnc12
Mol1762	O=Cc1ccc(C(=O)OCc2cccc3cccnc23)cc1
Mol1763	CC(=O)Nc1ccccn1
Mol1764	O=Nc1ccc2ccccc2n1
Mol1765	CNC(=O)Nc1cccc2cccnc12
Mol1766	CC(=O)Nc1cccc2ccc(-c3cnc4ccccc4c3)nc12
Mol1767	Cc1ccc(/N=C/c2cccc3cccnc23)cc1
Mol1768	Cc1cc(Cl)c2cc3ccccc3cc2n1
Mol1769	CC(=O)Oc1ccccc1C(=O)Nc1cccc2cccnc12
Mol1770	CC(=O)c1ccc(Oc2cccc3cccnc23)cc1
Mol1771	O=S(=O)(Nc1cccc2cccnc12)c1ccc(Br)cc1
Mol1772	Cc1occc1C(=O)Nc1cccc2cccnc12
Mol1773	Cc1cccc(C(=O)Nc2cccc3cccnc23)n1
Mol1774	CC/C=C/C(=O)Nc1cccc2cccnc12
Mol1775	CSc1ccc(C(=O)c2cccc3cccnc23)cc1
Mol1776	CC(C)Oc1cccc2cccnc12
Mol1777	N=C(Nc1cccc2cccnc12)c1ccc(Br)cc1
Mol1778	NC(=O)Nc1cccc2cccnc12
Mol1779	Brc1cccc(Nc2cccc3cccnc23)c1
Mol1780	Cc1cccc(S(=O)(=O)Nc2cccc3cccnc23)n1
Mol1781	Cc1cnc2ccccc2c1
Mol1782	CC1=C(c2cccc3cccnc23)CCC1=O
Mol1783	c1cnc2c(-c3c[nH]cn3)cccc2c1
Mol1784	CC(=O)CCCc1cccc2cccnc12
Mol1785	O=C(Nc1ccccc1)Nc1cccc2cccnc12
Mol1786	Cc1ccc(O)c(CNc2cccc3cccnc23)c1
Mol1787	O=S(=O)(Nc1cccc2cccnc12)Oc1ccccc1
Mol1788	NNC(=O)CSc1cccc2cccnc12
Mol1789	O=S(=O)(O)c1ccc2ccccc2n1
Mol1790	O=C(O)C1CC(Oc2cccc3cccnc23)C1
Mol1791	Cc1ccccc1Nc1cccc2cccnc12
Mol1792	Cc1ccc(-c2cnc3ccccc3n2)s1
Mol1793	O=C(Nc1cccc2cccnc12)c1cccc(F)c1
Mol1794	O=C(O)CNc1cccc2cccnc12
Mol1795	O=Cc1ccc(-c2cccc3cccnc23)cc1
Mol1796	CCc1ccnc2ccccc12
Mol1797	Cc1cc(C)c2ccccc2c1
Mol1798	CCOC(Oc1cccc2cccnc12)c1ccc(Cl)cc1
Mol1799	C=CCc1cccc2cccnc12
Mol1800	O=S(=O)(Nc1cccc2cccnc12)c1ccccc1O
Mol1801	O=C(CCC(F)(F)F)Nc1cccc2cccnc12
Mol1802	OCc1ccccc1-c1cccc2cccnc12
Mol1803	O=C(S)c1ccc2ccccc2n1
Mol1804	COc1ccc(Cc2cccc3cccnc23)cc1
Mol1805	O=C(Nc1cccc2cccnc12)c1cc(F)c(F)cc1Cl
Mol1806	CNc1ccc(-c2ccc3ccccc3n2)cc1
Mol1807	CCCCc1ccc2ncccc2c1
Mol1808	CC(=O)c1cccc2cccnc12
Mol1809	CC(C)N(Cc1cnc[nH]1)c1cccc2cccnc12
Mol1810	O=C(Nc1cccc2cccnc12)C1CCOCC1
Mol1811	COc1ccc(NC(=O)Nc2cccc3cccnc23)cc1Cl
Mol1812	C(#Cc1cccs1)c1cnc2ccccc2c1
Mol1813	Oc1ccc(/N=N/c2cccc3cccnc23)c(O)c1
Mol1814	CN(Cc1cccc2cccnc12)Cc1cccc2cccnc12
Mol1815	C=CCC(Nc1ccc(Cl)cc1)c1cccc2cccnc12
Mol1816	Cc1cnc(O)c(C(=O)Nc2cccc3cccnc23)c1
Mol1817	[O-]c1ccccc1/C=N/c1cccc2cccnc12
Mol1818	CCC(C)(O)/C(=C/C#N)Sc1cccc2cccnc12
Mol1819	CC(=O)Nc1cccnc1
Mol1820	O=C(Oc1ccccc1)c1cccc2cccnc12
Mol1821	COc1ccccc1NS(=O)(=O)c1cccc2cccnc12
Mol1822	O=C(COc1ccc(Br)cc1)Nc1cccc2cccnc12
Mol1823	CSc1ccc(-c2cccc3cccnc23)cc1
Mol1824	O=C(Nc1cccc2cccnc12)c1cncc(Br)c1
Mol1825	Cc1ccc2cccc(N)c2n1
Mol1826	COC(=O)C(C(=O)OC)C(C)c1cccc2cccnc12
Mol1827	C=CC(CC1CC1)C(=O)Nc1cccc2cccnc12
Mol1828	CC(=O)NC(C(=O)Nc1cccc2cccnc12)C(C)C
Mol1829	OC(COc1cccc2cccnc12)Cn1ccnc1
Mol1830	O=C(Nc1cccc2cccnc12)c1csc2c1CCCC2
Mol1831	Cc1nc2ccccc2nc1C
Mol1832	O=C(COc1ccccc1)Nc1cccc2cccnc12
Mol1833	O=Cc1ccc(F)cc1NCc1cccc2cccnc12
Mol1834	Cc1ccc(C(Nc2cccc3cccnc23)C(F)(F)F)cc1
Mol1835	C/C=C\CCC(=O)Nc1cccc2cccnc12
Mol1836	Cc1ccc(NC(=O)Oc2cccc3cccnc23)cc1C
Mol1837	O=C(Nc1cccc2cccnc12)C(=O)OCC(F)(F)F
Mol1838	CCOc1cnc2ccccc2c1
Mol1839	COc1cccc(OC)c1-c1cccc2cccnc12
Mol1840	O=C(CCCCCONC(=O)Nc1cccc2cccnc12)NO
Mol1841	COc1ccc(C(C)CC(=O)Nc2cccc3cccnc23)cc1
Mol1842	Cc1ccccc1C(=O)c1cccc2cccnc12
Mol1843	COc1cc(Br)c(C(=O)Nc2cccc3cccnc23)cc1OC
Mol1844	Cc1cc2ccccc2nc1SSc1nc2ccccc2cc1C
Mol1845	O=S(O)c1cccc2ncccc12
Mol1846	O=C(Nc1cccc2cccnc12)c1ccc([N+](=O)[O-])cc1
Mol1847	CCOC(=O)C(C)(C)C(=O)Nc1cccc2cccnc12
Mol1848	COc1ccccc1C(C)C(C)CNc1cccc2cccnc12
Mol1849	Cc1cccc(C(F)(F)F)c1C(=O)Nc1cccc2cccnc12
Mol1850	CC(=O)Oc1cccc2cccnc12
Mol1851	c1ccc2nc(N3CCCCC3)ccc2c1
Mol1852	O=C(Nc1cccc2cccnc12)C(F)(F)F
Mol1853	Cc1ccc2cccc(NC(=O)c3cccc4ccccc34)c2n1
Mol1854	Cc1ccc2cccnc2c1
Mol1855	OCc1cccc(COc2cccc3cccnc23)n1
Mol1856	Cc1ccc2cccc(S)c2n1
Mol1857	CC(Cl)c1cccc2cccnc12
Mol1858	C=C(C)CCn1cccc1C(=O)c1cccc2cccnc12
Mol1859	CC(NC(=O)Oc1cccc2cccnc12)c1ccccc1
Mol1860	Cc1ccc(C)c(C(=O)Nc2cccc3cccnc23)c1C
Mol1861	CC(CCCO)Cc1cccc2cccnc12
Mol1862	C(=N/c1cccc2cccnc12)\c1ccc[nH]1
Mol1863	COC1CCC1C(=O)Nc1cccc2cccnc12
Mol1864	CCc1cnc2ccccc2c1
Mol1865	CN(c1cncc(Br)c1)c1cccc2cccnc12
Mol1866	CCc1nc(N)ccc1-c1cccc2cccnc12
Mol1867	CC(=O)Nc1ccccc1-n1ccnc1
Mol1868	CC(=O)c1cc(-c2cccc3cccnc23)ccc1O
Mol1869	N#Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol1870	O=C(Nc1cccc2cccnc12)c1cccc(I)c1
Mol1871	O=C(Nc1cccc2cccnc12)c1cc(Cl)ccc1O
Mol1872	[2H]C([2H])([2H])c1cccc2cccnc12
Mol1873	Sc1cccc2ncccc12
Mol1874	COc1cc(NC(=O)c2cccs2)c2ncccc2c1
Mol1875	O=S(=O)(CCc1ccccc1)Nc1cccc2cccnc12
Mol1876	COc1ccccc1C(C)C(F)C(=O)Nc1cccc2cccnc12
Mol1877	C/C(=N\Nc1cccc2cccnc12)c1ccccc1O
Mol1878	CC(=O)OCc1cccc2cccnc12
Mol1879	O=C(Nc1cccc2cccnc12)c1ccccc1Br
Mol1880	O=C(CCc1ccc(I)cc1)Nc1cccc2cccnc12
Mol1881	COC(=O)CCC(=O)Nc1cccc2cccnc12
Mol1882	C=C(C(=O)Nc1cccc2cccnc12)c1ccc(C)cc1
Mol1883	Oc1ccc(COc2cccc3cccnc23)cc1
Mol1884	COC(C)c1cccc2cccnc12
Mol1885	C=CC(CC1CCC1)C(=O)Nc1cccc2cccnc12
Mol1886	CC(C)Cc1ncc(-c2cccc3cccnc23)s1
Mol1887	NS(=O)(=O)Nc1cccc2cccnc12
Mol1888	COC(=O)c1ccc(Nc2cccc3cccnc23)cc1
Mol1889	Sc1cccc2cccnc12
Mol1890	O=C1CCCN1Cc1cccc2cccnc12
Mol1891	CC(c1ccccc1)c1cccc2cccnc12
Mol1892	Cc1ccccc1C(C)CCNc1cccc2cccnc12
Mol1893	CCCC(=O)N(C)c1cccc2cccnc12
Mol1894	NCC(Oc1cccc2cccnc12)c1cccc(Cl)c1
Mol1895	CCOC(C)C(=O)Nc1cccc2cccnc12
Mol1896	O=C(O)c1cccnc1Oc1cccc2cccnc12
Mol1897	O=C(Nc1cccc2cccnc12)C(CO)CO
Mol1898	O=C(Nc1cccc2cccnc12)c1sccc1C(F)(F)F
Mol1899	Cc1cccc(C(=O)Nc2cccc3cccnc23)c1
Mol1900	CC(O)(c1c[nH]cn1)c1cccc2cccnc12
Mol1901	CC1(C(=O)Nc2cccc3cccnc23)CCCC1
Mol1902	CN(C)C(=O)Nc1cccc2cccnc12
Mol1903	COc1cc(NC(=O)C2CCCCC2)c2ncccc2c1
Mol1904	O=C1C=CC(O)(c2cnc3ccccc3c2)C=C1
Mol1905	O=C/C=C/c1ccc2ccccc2n1
Mol1906	Cc1ccc(I)c(C(=O)Nc2cccc3cccnc23)c1
Mol1907	c1ccc(CNc2cccc3cccnc23)cc1
Mol1908	CC(C)(C(=O)Nc1cccc2cccnc12)c1ccccc1
Mol1909	O=CNC(Cc1ccccc1)C(=O)Nc1cccc2cccnc12
Mol1910	CCOc1ccc2ccccc2n1
Mol1911	COc1ccc(-c2ccc3ccc(C)nc3c2)cc1
Mol1912	CCCCc1ccc2cccnc2c1
Mol1913	Cn1c(NC(=O)c2ccccc2)nc2c3ncccc3ccc21
Mol1914	Cc1ccc(C(=O)NCc2cccc3cccnc23)cc1
Mol1915	CCCCOc1ccc2cccnc2c1
Mol1916	CC(=O)c1ccc(-c2cccc3cccnc23)cc1
Mol1917	Clc1cc(-c2cccc3cccnc23)cnn1
Mol1918	Cn1cncc1C(=O)Nc1cccc2cccnc12
Mol1919	Brc1ccn(-c2cccc3cccnc23)n1
Mol1920	CC(C(=O)Nc1cccc2cccnc12)C1CCCC1
Mol1921	CCCCc1sc(C)cc1C(=O)Nc1cccc2cccnc12
Mol1922	CCOC(=O)CCc1cccc2cccnc12
Mol1923	CCOC(=O)C(=O)c1cccc2cccnc12
Mol1924	Cc1c(Cl)cccc1S(=O)(=O)Nc1cccc2cccnc12
Mol1925	O=C(Oc1cccc2cccnc12)c1ccccc1F
Mol1926	CC(C)(C)N(NC(=O)c1cccc2cccnc12)C(=O)[O-]
Mol1927	c1ccc(Nc2cnc3ccccc3c2)nc1
Mol1928	COC(=O)C(Cc1cccc2cccnc12)C(=O)C(C)C
Mol1929	CCCCC(=O)Oc1cccc2cccnc12
Mol1930	O=C(Nc1cccc2cccnc12)c1cccc(C(F)(F)F)c1
Mol1931	Cc1cc(=O)n(-c2ccc3ccccc3n2)[nH]1
Mol1932	O=C(CCc1ccc(Br)cc1)Nc1cccc2cccnc12
Mol1933	c1ccc(-c2ccnc3ccccc23)cc1
Mol1934	CC(=O)C(Sc1cccc2cccnc12)C(C)=O
Mol1935	COc1ccccc1NC(=O)c1cccc2cccnc12
Mol1936	COc1cccc(C(=O)c2cccc3cccnc23)c1
Mol1937	CNCC(O)COc1cccc2cccnc12
Mol1938	c1ccc2nc(-c3nc4ccccc4o3)ccc2c1
Mol1939	CCCCc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol1940	CC1(C)OB(c2cccc3cccnc23)OC1(C)C
Mol1941	COC(=O)C1CC(C(=O)Nc2cccc3cccnc23)C1
Mol1942	CCCC(C)(CCC)C(=O)Nc1cccc2cccnc12
Mol1943	CSCC(=O)Nc1cccc2cccnc12
Mol1944	CC(C)(C)c1ccc2cccnc2c1
Mol1945	c1ccc2ncccc2c1
Mol1946	Cc1ccc(N(C)C(=O)Oc2cccc3cccnc23)cc1
Mol1947	c1ccc2nc(-c3ccncc3)ccc2c1
Mol1948	C=C(COc1cccc2cccnc12)COC1CCCCO1
Mol1949	C=C(C(=O)Nc1cccc2cccnc12)c1ccc(F)cc1
Mol1950	O=S(Cc1cc(F)c(O)c(F)c1)c1cccc2cccnc12
Mol1951	Cc1c(C(C)C)c(=O)on1C(=O)Nc1cccc2cccnc12
Mol1952	C=COC(=O)c1cccc2cccnc12
Mol1953	[CH]c1cccc2cccnc12
Mol1954	COc1cccc(C(=O)Nc2cccc3cccnc23)c1O
Mol1955	CC(C)(C)c1ccccc1-c1cccc2cccnc12
Mol1956	O=C(Nc1cccc2cccnc12)c1ccsc1[N+](=O)[O-]
Mol1957	CC(=O)Nc1ccccc1F
Mol1958	Cc1ccc2cc(NC(=O)c3ccccc3)ccc2n1
Mol1959	CC(O)CC(=O)Nc1cccc2cccnc12
Mol1960	CCCCNC(=S)Nc1cccc2cccnc12
Mol1961	Cc1nc(C#Cc2cnc3ccccc3c2)cs1
Mol1962	C=C(c1ccccc1)c1cccc2cccnc12
Mol1963	Nc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol1964	c1ccc(Oc2cnc3ccccc3c2)cc1
Mol1965	Cc1cccc(-c2cccc(C)n2)n1
Mol1966	Cc1cccnc1NC(=O)Nc1cccc2ccccc12
Mol1967	Cc1cnc2nc(-c3ccccc3)ccc2c1
Mol1968	NCCNc1cccc2cccnc12
Mol1969	Brc1cncc(Nc2cccc3cccnc23)c1
Mol1970	Cl.Cl.NCC#Cc1cnc2ccccc2c1
Mol1971	Cc1ccc2cc([N+](=O)[O-])ccc2n1
Mol1972	O=C(c1ccccc1)c1ccnc2ccccc12
Mol1973	Cc1ccnc2ccccc12
Mol1974	O=P(O)(O)Oc1ccc2cccnc2c1
